timestamp,open,high,low,close,volume
2025-07-10 23:05:00,115940.0,116084.0,115939.9,116030.1,1057521.0
2025-07-10 23:10:00,116030.1,116042.8,115880.2,115987.1,946423.0
2025-07-10 23:15:00,115987.1,116001.0,115780.0,115904.1,1047318.0
2025-07-10 23:20:00,115898.1,115900.0,115771.5,115820.0,610064.0
2025-07-10 23:25:00,115820.0,115862.0,115768.0,115768.1,737076.0
2025-07-10 23:30:00,115768.1,115796.8,115650.0,115650.1,1391815.0
2025-07-10 23:35:00,115650.0,115704.0,115650.0,115663.2,1203557.0
2025-07-10 23:40:00,115663.2,115781.3,115650.0,115763.1,766876.0
2025-07-10 23:45:00,115763.1,115868.6,115712.5,115850.0,606902.0
2025-07-10 23:50:00,115850.0,115985.7,115850.0,115972.1,1257448.0
2025-07-10 23:55:00,115972.0,115991.9,115946.4,115991.9,1752708.0
2025-07-11 00:00:00,115991.9,116034.3,115937.8,115978.7,805090.0
2025-07-11 00:05:00,115976.2,116044.0,115904.7,116043.9,787812.0
2025-07-11 00:10:00,116044.0,116049.8,115838.1,115842.4,1158561.0
2025-07-11 00:15:00,115842.4,115857.4,115392.5,115466.3,1963358.0
2025-07-11 00:20:00,115466.3,115526.3,115266.0,115288.0,2411256.0
2025-07-11 00:25:00,115289.7,115501.0,115196.1,115466.5,2958748.0
2025-07-11 00:30:00,115459.5,115590.0,115276.4,115529.4,1966181.0
2025-07-11 00:35:00,115529.5,115696.0,115508.7,115659.9,1467803.0
2025-07-11 00:40:00,115659.9,115659.9,115413.6,115424.1,404674.0
2025-07-11 00:45:00,115424.2,115648.5,115388.2,115531.0,1043763.0
2025-07-11 00:50:00,115539.7,115581.4,115457.0,115492.9,1616462.0
2025-07-11 00:55:00,115493.0,115709.7,115399.4,115560.0,2101941.0
2025-07-11 01:00:00,115560.1,115622.9,115480.0,115547.3,629608.0
2025-07-11 01:05:00,115546.9,115627.0,115512.3,115617.9,763421.0
2025-07-11 01:10:00,115617.8,115642.8,115489.2,115623.1,952741.0
2025-07-11 01:15:00,115623.1,115750.0,115623.1,115729.9,872163.0
2025-07-11 01:20:00,115729.9,115929.9,115729.9,115921.5,1225623.0
2025-07-11 01:25:00,115925.0,115953.5,115896.5,115912.1,800109.0
2025-07-11 01:30:00,115912.1,115942.6,115854.1,115879.3,432128.0
2025-07-11 01:35:00,115878.8,115929.2,115841.1,115903.8,347442.0
2025-07-11 01:40:00,115903.8,115975.0,115902.2,115962.1,872970.0
